二级类目,三级类目,最小类,排名,名称,价格,上架日期,链接
艺术与工艺用品,粘合剂,艺术粘贴,1,"Bluebird Modeling Paste 800GM / 28.2oz - 200GM EXTRA - High Density, Acrylic Medium - for Texture and Thickness, Dimension Additive",AED 39.99,https://www.amazon.ae/Bluebird-Modeling-Paste-800GM-28-2oz/dp/B0D8FW1MVX/ref=zg_bs_g_15194022031_d_sccl_1/258-4809092-9111409?psc=1
艺术与工艺用品,粘合剂,艺术粘贴,2,Mont Marte MODELING PASTE 500ML,AED 39.38,https://www.amazon.ae/Mont-Marte-MODELING-PASTE-500ML/dp/B00YATFE8K/ref=zg_bs_g_15194022031_d_sccl_2/258-4809092-9111409?psc=1
艺术与工艺用品,粘合剂,艺术粘贴,3,"Biella White Cement Powder with Mason Trowel – Ideal for Crack Filling, Universal Adhesive, Construction, Art & Craft Projects, and Waterproofing for Home Repairs, Bathrooms, and Tiles (5 KG)",,https://www.amazon.ae/Biella-White-Cement-Powder-Trowel/dp/B0DG2SF7GZ/ref=zg_bs_g_15194022031_d_sccl_3/258-4809092-9111409?psc=1
艺术与工艺用品,粘合剂,艺术粘贴,4,Uhu 949059 Decorative Adhesive Paste (Pack of 32),AED 9.50,https://www.amazon.ae/949059-Decorative-Adhesive-Paste-Pack/dp/B00JRR4TAY/ref=zg_bs_g_15194022031_d_sccl_4/258-4809092-9111409?psc=1
艺术与工艺用品,粘合剂,艺术粘贴,5,"Craftolive White Ceramic Cones (Liquid Paste) for Arts & Crafts and Decorative Purposes, Pack of 8 Cones",AED 59.00,https://www.amazon.ae/Craftolive-Ceramic-Liquid-Decorative-Purposes/dp/B08RC34NP9/ref=zg_bs_g_15194022031_d_sccl_5/258-4809092-9111409?psc=1
艺术与工艺用品,粘合剂,艺术粘贴,6,"Liquitex Professional Gloss Gel Medium, 3.78L (128-oz), 1 Gallon (Pack of 1)",AED 346.09,https://www.amazon.ae/Liquitex-Professional-Medium-128-oz-Gallon/dp/B001UNVGZ4/ref=zg_bs_g_15194022031_d_sccl_6/258-4809092-9111409?psc=1
艺术与工艺用品,粘合剂,艺术粘贴,7,Mont Marte Crackle Paste 250ML by VANSHI Arts (250ML),AED 40.00,https://www.amazon.ae/Mont-Marte-Crackle-Paste-VANSHI/dp/B07L2RCCH2/ref=zg_bs_g_15194022031_d_sccl_7/258-4809092-9111409?psc=1
艺术与工艺用品,粘合剂,艺术粘贴,8,"KAMENSKAYA Texture Fiber: Modeling Paste/Sculpting Paste Fiber, for Creating 3D Fabric Textures in Art",AED 206.39,https://www.amazon.ae/KAMENSKAYA-Texture-Fiber-Modeling-Sculpting/dp/B0BLCB8NPV/ref=zg_bs_g_15194022031_d_sccl_8/258-4809092-9111409?psc=1
艺术与工艺用品,粘合剂,艺术粘贴,9,"Pebeo 1 Litre Heavy Modeling Paste, White",AED 231.00,https://www.amazon.ae/Pebeo-Litre-Heavy-Modeling-Paste/dp/B005IW0GPY/ref=zg_bs_g_15194022031_d_sccl_9/258-4809092-9111409?psc=1
艺术与工艺用品,粘合剂,艺术粘贴,10,"Prima Marketing Inc. REDESIGN CHALK PASTE, Chalky White",AED 34.12,https://www.amazon.ae/Prima-Marketing-REDESIGN-CHALK-Chalky/dp/B07HZ1N9M7/ref=zg_bs_g_15194022031_d_sccl_10/258-4809092-9111409?psc=1
